정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
마전고등학교,42753,6018,226,6018,226,0,201
마전역,42412,3292,8606,3291,8606,1,383
마전역,42413,19455,4932,19453,4932,2,786
마전주공아파트,42420,27,163,27,163,0,6
마전지구대원아파트,42481,5851,69,5851,69,0,190
마전지구대원아파트,89446,15,5134,15,5134,0,166
마전지구버스차고지,89259,4175,294,4174,294,1,144
마전지구버스차고지,89345,34,2420,34,2420,0,79
마전초등학교,42408,4987,5409,4987,5409,0,335
마포역,14001,2,477,2,477,0,15
마포역,14002,405,1,405,1,0,13
막촌,43460,344,24,319,24,25,11
막촌,43776,2,143,2,143,0,4
만석동행정복지센터,36046,4017,1505,4001,1505,16,178
만석부두,36076,405,3398,405,3398,0,122
만석부두,36079,4582,1551,4579,1551,3,197
만석비치타운,36106,659,5505,659,5505,0,198
만석비치타운,36126,1641,1056,1641,1056,0,87
만석삼거리,36185,2399,7065,2364,7065,35,305
만석삼거리,36186,946,1481,945,1481,1,78
만석주공,36057,13864,2366,13834,2366,30,523
만석초등학교,36056,536,207,530,207,6,23
만석초등학교,36187,3,40,3,40,0,1
만수1동행정복지센터,39294,12270,5131,12270,5131,0,561
만수2동행정복지센터·포레시안,39731,16836,9563,16836,9563,0,851
만수2동행정복지센터·포레시안,39735,10194,11456,10194,11456,0,698
만수3동주민센터,39425,18923,25043,18862,25043,61,1418
만수3동주민센터,39427,30879,12407,30850,12407,29,1396
만수3동주민센터,39544,485,117,479,117,6,19
만수3동주민센터,39545,76,1076,72,1076,4,37
만수4동주민센터,39452,6643,6714,6625,6714,18,430
만수4동주민센터,39454,6564,11664,6549,11664,15,588
만수6동주민센터입구,39277,4855,12759,4853,12759,2,568
만수7.8단지앞,39497,838,2052,838,2052,0,93
만수7.8단지앞,39635,2889,2540,2889,2540,0,175
만수북중학교,39468,1155,1820,1155,1820,0,95
만수북중학교,39469,1961,627,1961,627,0,83
만수북초등학교,39420,6052,4556,6016,4556,36,342
만수소방서,39428,8437,15660,8393,15660,44,777
만수소방서,39433,33604,12454,33526,12454,78,1485
만수신동아아파트·동인천고,39485,10111,9727,9456,9727,655,639
만수신동아아파트·동인천고,39578,406,55,400,55,6,14
만수역,39385,2542,43,2542,43,0,83
만수역,39388,284,17671,278,17671,6,579
만수종합시장,39451,28326,9562,28173,9562,153,1222
